151,3651,1269,45,11,253,97,4373,33
150,43,788,44,680,0,0,2034,0
153,41,5198,1311,13,52,326,8318,102
152,200,800,465,113,37,59,3880,5
77,687,1485,1010,262,29,2,4921,11
154,8,2797,962,0,336,0,3744,0
157,50,484,356,1880,0,0,4850,46
156,317,2959,358,1120,77,13,6186,316
159,32,4341,10,4281,0,3404,9410,0
62,43,153,90,1187,0,759,7496,640
60,56,1323,224,531,72,0,4441,6
61,21,577,502,1438,0,5,9942,0
131,4,70,6,0,18,15,5828,16
64,0,766,6,10,0,406,2494,0
136,82,2776,0,5,179,0,3378,69
135,29,1448,207,690,352,226,2676,0
134,475,874,112,29,187,2,4676,0
83,616,1604,562,380,46,32,8504,81
139,226,1263,19,0,29,259,9383,48
138,13,433,8,12,0,130,6000,0
86,134,316,569,3188,332,0,6710,15
172,1291,2935,576,2957,355,0,4445,0
171,261,983,69,2118,2500,2160,5101,295
170,1865,224,904,2840,203,2934,7649,309
24,179,3532,277,212,369,0,8328,11
25,84,239,78,646,302,108,5324,21
27,115,2116,199,618,356,57,5210,0
46,0,1448,0,2,133,9,3908,238
95,71,852,6,122,54,139,6592,32
44,0,1008,25,16,0,0,8195,0
28,21,3767,551,306,234,470,6553,352
94,773,2041,141,660,656,996,5144,115
1,310,309,145,0,70,208,136,43
162,222,746,0,0,169,0,2504,0
7,0,0,0,0,0,0,0,0
155,27,658,758,271,25,0,3992,45
163,1,1043,622,2241,14,364,4857,4
146,88,1664,15,165,151,7,4861,3
147,597,882,252,452,8,1,5131,3
144,320,36,0,1378,0,0,3980,276
145,0,0,6,0,0,0,6571,0
142,240,3033,340,2,103,52,7159,488
143,166,2963,73,0,255,0,4580,0
140,190,400,93,36,0,854,8580,82
141,333,4506,0,156,0,7,6060,27
148,227,791,62,1,0,193,5648,1068
149,656,1097,292,116,25,180,3607,187
99,0,92,60,678,325,219,5900,237
122,1023,5817,268,300,145,164,1701,0
123,565,8,32,2495,57,1033,3576,0
168,768,557,0,746,0,0,1602,0
169,10,2408,249,1412,14,76,5043,0
126,1034,466,578,476,115,487,8066,298
164,271,1445,298,1749,23,6,10081,25
165,509,1425,130,844,0,0,1317,0
166,100,3892,571,744,0,1,4800,0
167,547,941,107,361,66,0,1303,0
160,310,764,25,3179,9,3258,12130,92
161,175,570,12,362,171,1279,6684,2
79,680,10716,497,1810,91,1733,18672,576
78,930,3539,232,427,0,403,3530,38
133,2,2299,203,9,81,19,6584,30
132,552,569,1195,0,0,97,5055,72
33,6,443,184,7,0,145,3930,375
32,0,1782,77,917,0,562,3333,30
31,220,7011,492,61,40,46,4661,47
30,263,3474,234,441,678,349,5641,793
51,210,768,0,2137,0,206,3751,2
36,0,1996,848,361,0,162,9096,0
35,0,510,0,150,136,4,4211,26
34,966,5201,325,394,0,24,11784,0
106,286,542,91,279,370,475,5000,191
54,288,3005,466,62,30,3,8087,63
137,13,3266,9,52,13,0,4613,17
57,185,1750,562,235,127,0,2405,0
65,22,4401,578,378,13,0,4583,168
user,map,network,timeline,notepad,table,message,document,history
